x,y,z,vx,vy,vz,t
-101.413,-114.359,85.7194,-0.42996,-0.580318,0.691639,96
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-103.65,-124.14,88.0444,-0.102772,-0.947405,0.303087,101
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-103.65,-124.14,88.0444,-0.102772,-0.947405,0.303087,101
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-103.65,-124.14,88.0444,-0.102772,-0.947405,0.303087,101
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-72.4343,-70.8866,67.8774,-0.603756,-0.240638,0.759981,68
72.2441,-24.2085,59.4017,0.360357,-0.926751,-0.106186,55.1
72.2441,-24.2085,59.4017,0.360357,-0.926751,-0.106186,55.1
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-103.65,-124.14,88.0444,-0.102772,-0.947405,0.303087,101
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
72.2441,-24.2085,59.4017,0.360357,-0.926751,-0.106186,55.1
-103.65,-124.14,88.0444,-0.102772,-0.947405,0.303087,101
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
72.2441,-24.2085,59.4017,0.360357,-0.926751,-0.106186,55.1
